date,iraq,barack obama,afghanistan,new york,california,gop,george w. bush,wall street,john mccain,supreme court,iran,china,mitt romney,republican party,texas,hillary clinton,israel,middle east,florida,europe,bill clinton,sarah palin,democratic party,russia,pakistan,ohio,vietnam,ronald reagan,massachusetts,chicago,new york city,virginia,british,fox news,iowa,syria,pennsylvania,european,world war ii,george bush,israeli,germany,mexico,illinois,cnn,india,france,martin luther king,newt gingrich,canada
20070101,303,41,36,42,29,17,49,11,21,20,69,22,4,13,30,47,27,66,10,15,23,0,31,16,4,7,47,8,11,13,15,24,15,23,12,27,2,9,10,40,8,8,5,10,15,19,7,7,6,7
20070201,232,49,31,48,37,17,30,4,28,13,62,26,14,13,21,35,18,33,15,11,23,0,21,8,9,6,34,12,10,10,5,12,20,21,19,9,9,7,8,34,7,10,4,5,20,10,8,11,2,6
20070301,205,36,29,45,40,27,33,3,19,17,55,10,12,23,19,38,23,30,16,16,19,0,25,4,12,5,31,4,6,7,17,6,21,26,16,7,5,4,7,28,13,5,10,8,22,12,11,11,8,9
20070401,223,30,37,46,38,18,47,7,31,28,40,25,12,13,27,27,23,27,22,18,13,0,16,9,8,15,34,13,13,14,16,36,18,15,14,21,5,9,10,29,6,9,3,10,23,8,13,7,8,8
20070501,197,19,30,39,31,31,50,5,21,24,22,28,21,21,11,25,15,25,16,21,16,0,27,9,6,8,25,19,16,7,19,9,22,8,8,3,9,11,12,33,8,20,4,4,7,13,17,8,10,10
20070601,229,41,36,48,38,30,47,6,23,40,71,28,20,24,15,45,37,55,15,28,27,0,22,20,17,11,25,15,12,13,18,8,31,12,11,17,12,18,16,37,24,20,11,9,21,15,17,3,5,13
20070701,206,24,36,38,27,21,56,6,14,34,54,28,10,21,24,36,29,43,17,25,17,0,17,12,23,8,27,11,13,13,5,15,23,8,15,12,9,13,11,45,13,15,9,4,20,7,19,4,3,14
20070801,243,42,42,65,40,32,58,9,20,28,64,36,26,29,41,59,28,37,23,14,31,0,22,11,37,17,47,10,9,31,18,10,21,11,33,14,5,19,13,54,11,12,10,12,14,12,17,9,9,14
20070901,314,55,44,68,48,46,50,6,36,26,111,33,25,24,26,62,44,67,25,23,23,0,37,17,16,9,40,17,14,17,17,10,25,21,27,23,8,13,11,63,13,21,11,9,15,18,15,6,13,17
20071001,292,73,57,74,56,44,50,14,33,36,135,55,43,30,27,98,65,60,33,33,29,0,20,30,27,13,29,27,18,18,27,14,24,20,62,29,10,21,19,54,26,15,19,9,16,14,22,9,5,16
20071101,234,90,67,75,40,32,67,13,35,47,107,45,33,19,28,110,45,57,21,20,34,0,41,14,64,12,24,18,16,13,21,13,17,15,92,15,7,22,16,57,20,17,17,23,29,25,24,8,7,16
20071201,224,87,70,65,38,38,56,10,33,42,117,45,66,23,21,119,43,50,26,23,62,0,28,26,65,11,24,29,19,15,18,13,21,9,134,14,6,16,12,33,12,10,16,31,24,19,13,16,7,19
