Term1,Term2,Frequency
afghanistan,africa,185
afghanistan,america,280
afghanistan,associated press,193
afghanistan,australia,369
afghanistan,baghdad,156
afghanistan,barack obama,222
afghanistan,bbc,257
afghanistan,brazil,136
afghanistan,britain,256
afghanistan,california,294
afghanistan,canada,329
afghanistan,china,359
afghanistan,congress,177
afghanistan,earth,153
afghanistan,england,277
afghanistan,eu,174
afghanistan,europe,342
afghanistan,european union,269
afghanistan,france,362
afghanistan,george w. bush,242
afghanistan,germany,329
afghanistan,india,281
afghanistan,indonesia,147
afghanistan,iran,288
afghanistan,iraq,363
afghanistan,israel,302
afghanistan,italy,212
afghanistan,japan,280
afghanistan,london,317
afghanistan,mexico,164
afghanistan,middle east,183
afghanistan,new york,318
afghanistan,new york city,156
afghanistan,new zealand,216
afghanistan,pakistan,276
afghanistan,reuters,222
afghanistan,russia,323
afghanistan,south africa,181
afghanistan,south korea,145
afghanistan,spain,203
afghanistan,sydney,130
afghanistan,taiwan,117
afghanistan,thailand,146
afghanistan,turkey,169
afghanistan,uk,373
afghanistan,united kingdom,399
afghanistan,united nations,337
afghanistan,washington,317
afghanistan,white house,289
africa,afghanistan,185
africa,america,172
africa,associated press,118
africa,australia,203
africa,baghdad,107
africa,barack obama,129
africa,bbc,146
africa,brazil,104
africa,britain,156
africa,california,169
africa,canada,188
africa,china,204
africa,congress,139
africa,earth,98
africa,england,184
africa,eu,130
africa,europe,196
africa,european union,185
africa,france,213
africa,george w. bush,156
africa,germany,192
africa,india,168
africa,indonesia,104
africa,iran,170
africa,iraq,198
africa,israel,177
africa,italy,132
africa,japan,162
africa,london,185
africa,mexico,103
africa,middle east,125
africa,new york,179
africa,new york city,111
africa,new zealand,138
africa,pakistan,146
africa,reuters,147
africa,russia,185
africa,south africa,137
africa,south korea,110
africa,spain,140
africa,sydney,85
africa,taiwan,80
africa,thailand,96
africa,turkey,108
africa,uk,209
africa,united kingdom,207
africa,united nations,192
africa,washington,191
africa,white house,181
america,afghanistan,280
america,africa,172
america,associated press,192
america,australia,375
america,baghdad,163
america,barack obama,200
america,bbc,236
america,brazil,147
america,britain,244
america,california,287
america,canada,315
america,china,365
america,congress,177
america,earth,141
america,england,245
america,eu,163
america,europe,330
america,european union,241
america,france,322
america,george w. bush,268
america,germany,314
america,india,254
america,indonesia,167
america,iran,280
america,iraq,340
america,israel,276
america,italy,210
america,japan,290
america,london,298
america,mexico,159
america,middle east,175
america,new york,319
america,new york city,145
america,new zealand,202
america,pakistan,223
america,reuters,210
america,russia,308
america,south africa,174
america,south korea,156
america,spain,193
america,sydney,140
america,taiwan,127
america,thailand,142
america,turkey,151
america,uk,311
america,united kingdom,352
america,united nations,288
america,washington,317
america,white house,285
associated press,afghanistan,193
associated press,africa,118
associated press,america,192
associated press,australia,236
associated press,baghdad,127
associated press,barack obama,134
associated press,bbc,200
associated press,brazil,111
associated press,britain,188
associated press,california,211
