Term1,Term2,Frequency
afghanistan,barack obama,7919
afghanistan,bill clinton,3850
afghanistan,british,2753
afghanistan,california,6461
afghanistan,canada,2097
afghanistan,chicago,3060
afghanistan,china,5211
afghanistan,cnn,2176
afghanistan,democratic party,3426
afghanistan,europe,4048
afghanistan,european,2478
afghanistan,florida,4330
afghanistan,fox news,2687
afghanistan,france,2159
afghanistan,george bush,2363
afghanistan,george w. bush,6072
afghanistan,germany,2415
afghanistan,gop,5930
afghanistan,hillary clinton,3565
afghanistan,illinois,2225
afghanistan,india,2178
afghanistan,iowa,2219
afghanistan,iran,5285
afghanistan,iraq,8084
afghanistan,israel,4578
afghanistan,israeli,2350
afghanistan,john mccain,3861
afghanistan,martin luther king,2163
afghanistan,massachusetts,2917
afghanistan,mexico,2280
afghanistan,middle east,4484
afghanistan,mitt romney,2831
afghanistan,new york,6939
afghanistan,new york city,2930
afghanistan,newt gingrich,1738
afghanistan,ohio,3050
afghanistan,pakistan,3291
afghanistan,pennsylvania,2475
afghanistan,republican party,4727
afghanistan,ronald reagan,3077
afghanistan,russia,3188
afghanistan,sarah palin,2975
afghanistan,supreme court,5398
afghanistan,syria,2229
afghanistan,texas,4610
afghanistan,vietnam,3181
afghanistan,virginia,2781
afghanistan,wall street,5748
afghanistan,world war ii,2449
barack obama,afghanistan,7919
barack obama,bill clinton,4104
barack obama,british,2750
barack obama,california,6765
barack obama,canada,2097
barack obama,chicago,3060
barack obama,china,5273
barack obama,cnn,2176
barack obama,democratic party,3547
barack obama,europe,4045
barack obama,european,2478
barack obama,florida,4681
barack obama,fox news,2687
barack obama,france,2159
barack obama,george bush,2359
barack obama,george w. bush,6328
barack obama,germany,2411
barack obama,gop,6433
barack obama,hillary clinton,4700
barack obama,illinois,2236
barack obama,india,2178
barack obama,iowa,2512
barack obama,iran,5578
barack obama,iraq,11004
barack obama,israel,4629
barack obama,israeli,2359
barack obama,john mccain,6133
barack obama,martin luther king,2175
barack obama,massachusetts,2989
barack obama,mexico,2276
barack obama,middle east,4478
barack obama,mitt romney,3774
barack obama,new york,7427
barack obama,new york city,2933
barack obama,newt gingrich,1871
barack obama,ohio,3212
barack obama,pakistan,3291
barack obama,pennsylvania,2614
barack obama,republican party,4945
barack obama,ronald reagan,3077
barack obama,russia,3206
barack obama,sarah palin,3741
barack obama,supreme court,5749
barack obama,syria,2215
barack obama,texas,4905
barack obama,vietnam,3178
barack obama,virginia,2775
barack obama,wall street,6045
barack obama,world war ii,2449
bill clinton,afghanistan,3850
bill clinton,barack obama,4104
bill clinton,british,2502
bill clinton,california,3745
bill clinton,canada,2063
