word,frequency
afghanistan,138
al gore,41
baghdad,37
barack obama,368
berlin,52
bill clinton,56
british,47
bush administration,39
california,57
chicago,50
china,78
christian,43
cnn,38
colorado,41
democratic party,37
europe,97
european,48
florida,57
george bush,64
george w. bush,102
germany,49
gop,60
hillary clinton,77
huffingtonpost,46
illinois,43
iran,131
iranian,43
iranians,34
iraq,342
israel,96
israeli,47
john kerry,51
john mccain,326
karl rove,40
middle east,95
muslim,38
new york,61
new york times,109
ohio,46
pakistan,65
pentagon,49
republican party,34
ronald reagan,36
russia,35
senator obama,51
supreme court,43
taliban,47
texas,56
vietnam,55
washington post,52
