word,frequency
afghanistan,79
barack,38
barack obama,346
bill,32
bill clinton,80
british,35
bush administration,34
california,64
chicago,46
china,53
christian,39
democratic party,93
dick cheney,39
europe,44
european,35
florida,73
fox news,39
george bush,73
george w. bush,103
gop,61
hillary clinton,161
huffington post,67
illinois,37
iowa,37
iran,115
iraq,329
israel,68
israeli,32
jewish,32
john kerry,50
john mccain,273
karl rove,32
michigan,43
middle east,61
minnesota,31
new hampshire,32
new york,81
new york times,93
ohio,52
pennsylvania,43
pentagon,48
reagan,34
republican party,40
scott mcclellan,33
senator obama,39
supreme court,94
texas,52
united nations,34
vietnam,54
washington post,40
