word,frequency

iraq,14312

barack obama,13827

afghanistan,8473

new york,7850

california,7008

gop,6600

george w. bush,6436

wall street,6402

john mccain,6367

supreme court,6228

iran,6066

china,5375

mitt romney,5226

republican party,4938

texas,4932

hillary clinton,4839

israel,4778

middle east,4760

florida,4688

europe,4118

bill clinton,4071

sarah palin,3880

democratic party,3527

russia,3443

pakistan,3313

ohio,3264

vietnam,3220

ronald reagan,3069

massachusetts,3062

chicago,3046

new york city,2909

virginia,2817

british,2744

fox news,2685

iowa,2662

syria,2650

pennsylvania,2629

european,2479

world war ii,2465

george bush,2436

israeli,2425

germany,2407

mexico,2262

illinois,2251

cnn,2193

india,2180

france,2152

martin luther king,2150

newt gingrich,2115

canada,2079

