name,count
australia,1035
iraq,772
united kingdom,759
china,681
canada,653
london,611
france,611
russia,533
europe,526
germany,521
england,491
afghanistan,481
israel,474
new york,473
united nations,472
washington,471
japan,456
iran,451
uk,443
california,429
india,411
barack obama,393
white house,387
european union,367
britain,366
george w. bush,359
bbc,357
pakistan,335
spain,317
reuters,316
italy,301
america,291
associated press,278
new zealand,273
brazil,241
africa,240
middle east,237
congress,228
mexico,226
south africa,225
sydney,222
eu,222
turkey,219
indonesia,212
baghdad,205
earth,193
taiwan,192
south korea,192
new york city,190
thailand,189
